time_s,ia_A,ib_A,ic_A,ea_V,eb_V,ec_V,speed_rad_s,torque_Nm,cmd_a,cmd_b,cmd_c,vab_V,vbc_V,vca_V,mechanical_angle_rad,hall_a,hall_b,hall_c,hall_code,hall_decoded_sector,hall_transition_class,hall_legal_event,hall_direction,hall_enable,hall_fault
0.0186,-12.658668890775129,4.688124056177163,7.970544834597967,29.012415717285453,-28.804070936097602,-5.305264314846361,72.39516273714278,-7.52234608845577,0.0,-1.0,1.0,48.0,-48.0,0.0,1.1510415788406205,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
0.0188,-13.337376205135829,4.202857885819573,9.134518319316255,28.71257230909641,-28.500839121867,-6.022248630241526,71.62977821212515,-7.786505968845845,0.0,-1.0,1.0,48.0,-48.0,0.0,1.165444513197247,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
0.019,-13.992968126091888,3.692949101234472,10.300019024857416,28.399476626366237,-28.19221642246531,-6.726488058295607,70.83762693524164,-8.057699999215243,0.0,-1.0,1.0,48.0,-48.0,0.0,1.1796917057006764,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
0.0192,-14.625012143295848,3.1588110783092125,11.466201064986636,28.07307872511005,-27.87790832095686,-7.416407274823435,70.01800206630607,-8.335973073596008,0.0,-1.0,1.0,48.0,-48.0,0.0,1.1937777323923748,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
0.0194,-15.233035564213248,2.6008694092319398,12.632166154981308,27.733378943731765,-27.55743847243386,-8.089983113799137,69.17019995952408,-8.621210546143693,0.0,-1.0,1.0,48.0,-48.0,0.0,1.2076970279991899,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
0.0196,-15.816514895392327,2.019564038336477,13.79695085705585,27.380416020890298,-27.230159611975985,-8.74480905163439,68.29353779562267,-8.913105534352793,0.0,-1.0,1.0,48.0,-48.0,0.0,1.221443888280901,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
0.0198,-16.374866998332806,1.4153501707870924,14.959516827545713,27.0142582014688,-26.895272512859858,-9.378170414587684,67.38737419770024,-9.21113219161333,0.0,-1.0,1.0,48.0,-48.0,0.0,1.235012476212524,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
0.02,-16.907442511274137,0.7886982003601695,16.118744310913968,26.634997520292018,-26.55185229756673,-9.98712755076108,66.45113216465585,-9.514526273384874,0.0,-1.0,1.0,48.0,-48.0,0.0,1.2483968325337174,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
0.0202,-17.413521933352,0.14009292351570296,17.2734290098363,26.24274723694081,-26.19888109251677,-10.568604087518812,65.48432354220083,-9.822273944256082,0.0,-1.0,1.0,48.0,-48.0,0.0,1.2615908910523703,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
0.0204,-17.89231465729608,-0.5299676890123256,18.422282346308407,25.837642207622547,-25.83528574811176,-11.11947735654462,64.48657417669195,-10.133109371165013,0.0,-1.0,1.0,48.0,-48.0,0.0,1.2745884989253315,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
0.0206,-18.342961116090528,-1.2209739032433145,19.563935019333844,25.41984182700146,-25.459979130212975,-11.636668114233343,63.457648862986474,-10.445521238493138,0.0,-1.0,1.0,48.0,-48.0,0.0,1.2873834419641936,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
0.0208,-18.76453808308814,-1.9324055804657254,20.696943663553867,24.989535057480687,-25.07190333812683,-12.117226816112302,62.3974752040819,-10.757767921176038,0.0,-1.0,1.0,48.0,-48.0,0.0,1.2999694748362605,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
