t,targetRpm,actualRpm,feedbackRpm,duty,carrier,pwmOn,electricalStep,hallState,ahBase,bhBase,chBase,alBase,blBase,clBase,ahPwm,bhPwm,chPwm,alPwm,blPwm,clPwm
0.0217,0,130.759671832273,0,0.12,0.85,0,0,5,1,0,0,0,1,0,0,0,0,0,1,0
0.0218,0,131.212772652692,0,0.12,0.9,0,0,5,1,0,0,0,1,0,0,0,0,0,1,0
0.0219,0,131.66474072106,0,0.12,0.949999999999999,0,0,5,1,0,0,0,1,0,0,0,0,0,1,0
0.022,0,132.115578869258,0,0.12,1.77635683940025e-15,1,0,5,1,0,0,0,1,0,1,0,0,0,1,0
0.0221,0,132.565289922085,0,0.12,0.0500000000000007,1,0,5,1,0,0,0,1,0,1,0,0,0,1,0
0.0222,0,133.013876697279,0,0.12,0.0999999999999996,1,0,5,1,0,0,0,1,0,1,0,0,0,1,0
0.0223,0,133.461342005536,0,0.12,0.15,0,0,5,1,0,0,0,1,0,0,0,0,0,1,0
0.0224,0,133.907688650522,0,0.12,0.199999999999999,0,0,5,1,0,0,0,1,0,0,0,0,0,1,0
0.0225,0,134.352919428896,0,0.12,0.250000000000002,0,0,5,1,0,0,0,1,0,0,0,0,0,1,0
0.0226,0,134.797037130324,0,0.12,0.300000000000001,0,0,5,1,0,0,0,1,0,0,0,0,0,1,0
0.0227,0,135.240044537498,0,0.12,0.350000000000001,0,0,5,1,0,0,0,1,0,0,0,0,0,1,0
0.0228,0,135.681944426154,0,0.12,0.4,0,0,5,1,0,0,0,1,0,0,0,0,0,1,0
0.0229,0,136.122739565089,0,0.12,0.449999999999999,0,0,5,1,0,0,0,1,0,0,0,0,0,1,0
0.023,0,136.562432716176,0,0.12,0.5,0,0,5,1,0,0,0,1,0,0,0,0,0,1,0
0.0231,0,137.001026634386,0,0.12,0.550000000000001,0,0,5,1,0,0,0,1,0,0,0,0,0,1,0
0.0232,0,137.4385240678,0,0.12,0.600000000000001,0,0,5,1,0,0,0,1,0,0,0,0,0,1,0
0.0233,0,137.87492775763,0,0.12,0.65,0,0,5,1,0,0,0,1,0,0,0,0,0,1,0
0.0234,0,138.310240438236,0,0.12,0.700000000000001,0,0,5,1,0,0,0,1,0,0,0,0,0,1,0
0.0235,0,138.744464837141,0,0.12,0.75,0,0,5,1,0,0,0,1,0,0,0,0,0,1,0
0.0236,0,139.177603675048,0,0.12,0.799999999999999,0,0,5,1,0,0,0,1,0,0,0,0,0,1,0
0.0237,0,139.60965966586,0,0.12,0.850000000000001,0,0,5,1,0,0,0,1,0,0,0,0,0,1,0
0.0238,0,140.040635516695,0,0.12,0.9,0,0,5,1,0,0,0,1,0,0,0,0,0,1,0
